,Beer_name,ID_Nr,Price_SEK,Bottle,Volume_ml,Alcohol_content,Bitterness,Fullness,Sweetness,Kind,Color,Producer,Info,Link,APK,SEK_p_l
0,1664,1517,14.2,True,330,0.05,3,4,1,Internationell stil,"Ljus, gul färg. ",Kronenbourg ,"Brödig smak med inslag av honung, halm och citrus. Serveras vid 6-8°C som sällskapsdryck eller till rätter av fisk och ljust kött, gärna med heta och asiatiska inslag.",https://www.systembolaget.se//dryck/ol/1664-151703,1.162,43.0
1,1664 Blanc,1514,17.6,True,330,0.05,1,4,1,Witbier,"Oklar, ljusgul färg. ",Kronenbourg ,"Fruktig smak med tydlig karaktär av citron och koriander. Serveras vid 6-8°C som sällskapsdryck eller till rätter av fisk och ljust kött, gärna med heta och asiatiska inslag.",https://www.systembolaget.se//dryck/ol/1664-blanc-151403,0.937,53.3
2,3 Fonteinen,1602,124.0,True,750,0.06,2,5,1,Lambic - gueuze,"Något oklar, mörk, gul färg. ",3 Fonteinen ,"Karaktärsfull, fruktig, mycket syrlig smak med inslag av röda äpplen, aprikos, halm, honung, nötter och citron. Serveras vid 6-8°C som aperitif eller till skaldjursrätter, gärna moules frittes.",https://www.systembolaget.se//dryck/ol/3-fonteinen-160201,0.363,165.3
3,3 Fonteinen,1622,69.9,True,375,0.06,3,6,1,Lambic - gueuze,"Oklar, mörk, gul färg. ",3 Fonteinen ,"Mycket syrlig, fruktig smak med inslag av halm, grapefrukt, aprikos, örter och citron. Serveras vid 6-8°C som aperitif eller till skaldjursrätter, gärna moules frittes.",https://www.systembolaget.se//dryck/ol/3-fonteinen-162203,0.322,186.4
4,Ace of Aces,1218,17.0,False,355,0.044000000000000004,5,5,1,Dortmunder och helles,"Mörk, gul färg. ",Connecticut Valley Brewing Company ,"Maltig smak med inslag av knäckebröd, örter, aprikos och apelsin. Serveras vid 8-10°C som sällskapsdryck, eller till rätter av fisk och ljust kött.",https://www.systembolaget.se//dryck/ol/ace-of-aces-121815,0.919,47.9
5,Ahlafors Artisan Lager,1109,18.5,True,330,0.047,7,6,1,Pilsner - tysk stil,Gul färg. ,Ahlafors Bryggerier ,"Maltig smak med tydlig beska, inslag av citrusskal, ljust bröd och honung. Serveras vid 8-10°C som sällskapsdryck eller till rätter av ljust kött.",https://www.systembolaget.se//dryck/ol/ahlafors-artisan-lager-110903,0.838,56.1
6,Aldersbacher,2171,24.3,True,500,0.053,6,6,2,Dunkel,"Mörk, rödbrun färg. ",Brauerei Aldersbach ,"Nyanserad, maltig smak med inslag av kavring, torkade fikon, choklad, apelsin och knäck. Serveras vid 8-10°C till rätter av fläsk-, lamm- och nötkött, eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/aldersbacher-217101,1.091,48.6
7,Amundsen,32684,27.9,False,330,0.065,7,7,2,India pale ale (IPA),"Oklar, gul färg. ",Amundsen Bryggeri AS ,"Fruktig, något humlearomatisk smak med tydlig beska, inslag av ananas, färska örter, nektarin och citrusskal. Serveras vid 8-10°C som sällskapsdryck, eller till rätter av ljust kött.",https://www.systembolaget.se//dryck/ol/amundsen-3268415,0.769,84.5
8,Anosteké,88394,73.8,True,750,0.08,7,7,2,Belgisk ljus ale,"Något oklar, mörkgul färg. ",Brasserie Du Pays Flamand ,"Fruktig, något humlearomatisk smak med tydlig beska, inslag av aprikos, kryddpeppar, ljust bröd, honung och örter. Serveras vid 8-10°C till rätter av fläsk- och lammkött, eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/anosteke-8839401,0.813,98.4
9,"Arboga 10,2",11392,22.4,False,500,0.102,5,8,6,Starkare lager,"Mörk, gul färg. ",Three Towns Ind Brewers ,"Maltig smak med sötma, inslag av torkade aprikoser, knäck och apelsin. Serveras vid 6-8°C till rätter av husmanskost.",https://www.systembolaget.se//dryck/ol/arboga-102-1139212,2.277,44.8
